elec,county,precinct_id,p_name,voter_id,PRS,PTY,USSEN,SHF,SHF_ncands,CLR,CLR_ncands,COR,COR_ncands,ALC,CAP,SCH,BND,USHOU,USHOU_ncands,HOU,HOU_ncands,SEN,SEN_ncands,CCL,CCL_ncands,SCB,SCB_ncands
2016-11-08,Hampton,45049-04,PRECINCT 4 - Varnville,45049-1833,-1,0,-1,NA,NA,-1,1,NA,NA,NA,NA,NA,NA,-1,4,-1,1,-1,1,0,3,NA,NA
2016-11-08,Lancaster,45057-23,PRECINCT 23 - Riverside,45057-15902,1,1,1,1,2,0,1,1,1,-1,NA,NA,NA,1,3,1,2,1,1,1,1,0,1
2016-11-08,Georgetown,45043-18,PRECINCT 118 - Murrells Inlet 2,45043-10361,1,1,NA,0,3,0,1,0,1,NA,NA,NA,1,0,2,0,1,0,1,NA,NA,0,1
2016-11-08,Greenville,45045-074,PRECINCT 286 - MOUNTAIN VIEW,45045-085582,1,0,1,1,1,1,1,0,1,-1,NA,NA,NA,1,3,1,1,1,1,NA,NA,NA,NA
2016-11-08,Charleston,45019-099,PRECINCT 417 - James Island 17,45019-066663,-1,-1,-1,0,1,0,1,0,1,NA,1,NA,1,-1,4,0,1,0,1,NA,NA,0,9
2016-11-08,Charleston,45019-018,PRECINCT 175 - Wadmalaw Island 2,45019-012852,-1,-1,-1,0,1,1,1,0,1,NA,1,NA,1,-1,4,-1,2,-1,1,NA,NA,0,4
2016-11-08,Anderson,45007-05,PRECINCT 13 - Bishop's Branch,45007-02419,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,2,1,1,1,1,1,1,NA,NA
2016-11-08,Greenville,45045-100,PRECINCT 314 - SIMPSONVILLE 5,45045-118117,-1,-1,-1,1,1,1,1,0,1,-1,NA,NA,NA,-1,2,-1,2,1,1,1,1,NA,NA
2016-11-08,Spartanburg,45083-048,PRECINCT 75 - Southside Baptist,45083-050562,-1,-1,-1,0,2,1,1,1,1,-1,NA,NA,NA,-1,3,-1,2,-1,2,-1,1,NA,NA
2016-11-08,Anderson,45007-55,PRECINCT 72 - Williamston Mill,45007-43333,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,1,2,1,2,1,1,1,1,0,4
