county,region,win_gore00,clinton96,dole96,perot96,bush00,gore00,buchanan00,pct_gore00,pct_clinton96,pop,pct_white,pct_black,pct_asian,pct_hisp,hisp_cuban,hisp_puertorican,hisp_mexian,incomepc2000,code
Alachua,North,1,40144,25303,8072,34124,47365,263,0.5794,0.546,222724,0.6945,0.193,0.0392,0.0605,2513,3102,1377,25076,ALA
Baker,North,0,2273,3684,667,5610,2392,73,0.2962,0.3431,22482,0.8254,0.1395,0.0054,0.0201,70,79,131,19955,BAK
Bay,Panhandle,0,17020,28290,5922,38637,18850,248,0.3265,0.3322,151295,0.8256,0.107,0.022,0.0266,407,1017,1158,24621,BAY
Bradford,North,0,3356,4038,819,5414,3075,65,0.3595,0.4086,26434,0.7483,0.2062,0.0078,0.0263,101,158,182,19443,BRA
Brevard,Central,0,80416,87980,25249,115185,97318,570,0.4567,0.4153,485268,0.8335,0.0851,0.019,0.0487,2161,9111,3281,27765,BRE
Broward,South,1,320736,142834,38964,177323,386561,788,0.6846,0.6382,1679990,0.5703,0.2081,0.0263,0.1718,50911,54938,19451,31327,BRO
Calhoun,Panhandle,0,1794,1717,630,2873,2155,90,0.4211,0.4332,13210,0.7756,0.1557,0.0076,0.0403,84,56,242,16480,CAL
Charlotte,Central,0,27121,27836,7783,35426,29645,182,0.4543,0.4323,143342,0.9003,0.045,0.0105,0.0352,589,1704,848,26311,CHA
Citrus,Central,0,22042,20114,7244,29765,25525,270,0.4594,0.4462,119400,0.9281,0.0246,0.0091,0.0281,354,1414,450,22509,CIT
Clay,North,0,13246,30332,3281,41736,14632,186,0.2587,0.2827,143860,0.8443,0.0687,0.025,0.0463,356,2197,1407,27465,CLA
Collier,South,0,23182,42590,6320,60433,29918,122,0.3307,0.3216,257138,0.7264,0.051,0.0076,0.2011,6860,3071,28382,42953,COLL
Columbia,North,0,6691,7588,1970,10964,7047,89,0.3893,0.4118,57378,0.7779,0.1698,0.0081,0.0289,223,380,431,19327,COLU
DeSoto,Central,0,3219,3272,965,4256,3320,36,0.4362,0.4317,32707,0.608,0.126,0.0047,0.2529,157,238,6916,17147,DES
Dixie,North,0,1731,1398,652,2697,1826,29,0.4011,0.4578,13982,0.8751,0.0905,0.0033,0.0201,39,46,79,15896,DIX
Duval,North,0,112258,126857,13844,152098,107864,652,0.4139,0.4438,795313,0.6348,0.2751,0.0316,0.0437,3354,11485,6398,29848,DUV
