store_id,chain,location,state,pre_post,wage,full,part
1,wendys,PA,PA,0,5,20,20
1,wendys,PA,PA,1,5.25,0,36
2,wendys,PA,PA,0,5.5,6,26
2,wendys,PA,PA,1,4.75,28,3
3,burgerking,PA,PA,0,5,50,35
3,burgerking,PA,PA,1,4.75,15,18
4,burgerking,PA,PA,0,5,10,17
4,burgerking,PA,PA,1,5,26,9
5,kfc,PA,PA,0,5.25,2,8
5,kfc,PA,PA,1,5,3,12
6,kfc,PA,PA,0,5,2,10
6,kfc,PA,PA,1,5,2,9
7,roys,PA,PA,0,5,2.5,20
7,roys,PA,PA,1,4.75,1,25
8,burgerking,PA,PA,0,5,40,30
8,burgerking,PA,PA,1,5,9,32
9,burgerking,PA,PA,0,5,8,27
9,burgerking,PA,PA,1,4.5,7,39
10,burgerking,PA,PA,0,5.5,10.5,30
10,burgerking,PA,PA,1,4.75,18,10
11,burgerking,PA,PA,0,5,6,9
11,burgerking,PA,PA,1,4.5,5,20
12,kfc,PA,PA,0,5.25,5,17.5
12,kfc,PA,PA,1,5,15,4
13,kfc,PA,PA,0,5,1,15
13,kfc,PA,PA,1,4.75,4,13
14,roys,PA,PA,0,5,10,6
14,roys,PA,PA,1,4.75,6,20
15,roys,PA,PA,0,5,20,13
15,roys,PA,PA,1,4.75,5,15
16,roys,PA,PA,0,5,5,23
16,roys,PA,PA,1,4.25,2,19
17,roys,PA,PA,0,5,10,12.5
17,roys,PA,PA,1,5,2,18
18,roys,PA,PA,0,5,27,12
18,roys,PA,PA,1,4.9,0,30
19,roys,PA,PA,0,5,4,28
19,roys,PA,PA,1,5,8,20
20,roys,PA,PA,0,5,10,15
20,roys,PA,PA,1,4.75,10,10
21,wendys,PA,PA,0,5,0,28
21,wendys,PA,PA,1,5,0,31
22,roys,PA,PA,0,5,3,16
22,roys,PA,PA,1,4.25,5.5,10
23,roys,PA,PA,0,5,7,16
23,roys,PA,PA,1,4.75,5,19
24,burgerking,PA,PA,0,4.25,21,9
24,burgerking,PA,PA,1,4.25,6,25
25,burgerking,PA,PA,0,4.25,10,20
25,burgerking,PA,PA,1,4.25,7,25
26,burgerking,PA,PA,0,4.25,0,27
26,burgerking,PA,PA,1,4.25,0,42
27,burgerking,PA,PA,0,4.5,17,4
27,burgerking,PA,PA,1,4.25,0,22
28,burgerking,PA,PA,0,4.25,0,24
28,burgerking,PA,PA,1,4.25,11,12
29,burgerking,PA,PA,0,4.5,25,15
29,burgerking,PA,PA,1,4.25,0,45
30,burgerking,PA,PA,0,4.25,6,20
30,burgerking,PA,PA,1,4.38,7.5,25
31,kfc,PA,PA,0,4.5,6,10
31,kfc,PA,PA,1,4.75,4,20
32,kfc,PA,PA,0,4.25,0,15
32,kfc,PA,PA,1,4.25,6,15
33,wendys,PA,PA,0,4.67,30,10
33,wendys,PA,PA,1,4.5,7,18
34,wendys,PA,PA,0,4.75,8,25
34,wendys,PA,PA,1,4.5,0,28
35,wendys,PA,PA,0,4.25,0,15
35,wendys,PA,PA,1,4.25,0,16
36,wendys,PA,PA,0,4.25,10,20
36,wendys,PA,PA,1,4.25,10,20
37,kfc,PA,PA,0,4.75,2,12
37,kfc,PA,PA,1,4.25,1,14
38,burgerking,PA,PA,0,4.25,20,25
38,burgerking,PA,PA,1,4.25,0,48
39,burgerking,PA,PA,0,4.5,20,55
39,burgerking,PA,PA,1,5.05,25,10
40,burgerking,PA,PA,0,4.25,15,50
40,burgerking,PA,PA,1,4.25,19,29
41,burgerking,PA,PA,0,4.25,1,37.5
