stt,age,inc,eth,sex,edu,pop2008
AL,18-29,$0-20k,White,Male,< HS,9032
AL,18-29,$0-20k,White,Male,HS,8280
AL,18-29,$0-20k,White,Male,Some Coll,13032
AL,18-29,$0-20k,White,Male,Coll,2798
AL,18-29,$0-20k,White,Male,Post-Grad,431
AL,18-29,$0-20k,White,Female,< HS,9307
AL,18-29,$0-20k,White,Female,HS,10747
AL,18-29,$0-20k,White,Female,Some Coll,16732
AL,18-29,$0-20k,White,Female,Coll,3287
AL,18-29,$0-20k,White,Female,Post-Grad,551
AL,18-29,$0-20k,Black,Male,< HS,9898
AL,18-29,$0-20k,Black,Male,HS,8517
AL,18-29,$0-20k,Black,Male,Some Coll,5636
AL,18-29,$0-20k,Black,Male,Coll,505
AL,18-29,$0-20k,Black,Male,Post-Grad,15
AL,18-29,$0-20k,Black,Female,< HS,12707
AL,18-29,$0-20k,Black,Female,HS,16298
AL,18-29,$0-20k,Black,Female,Some Coll,14402
AL,18-29,$0-20k,Black,Female,Coll,1664
AL,18-29,$0-20k,Black,Female,Post-Grad,246
AL,18-29,$0-20k,Hispanic,Male,< HS,318
AL,18-29,$0-20k,Hispanic,Male,HS,210
AL,18-29,$0-20k,Hispanic,Male,Some Coll,173
AL,18-29,$0-20k,Hispanic,Male,Coll,0
AL,18-29,$0-20k,Hispanic,Male,Post-Grad,0
AL,18-29,$0-20k,Hispanic,Female,< HS,238
AL,18-29,$0-20k,Hispanic,Female,HS,365
AL,18-29,$0-20k,Hispanic,Female,Some Coll,172
AL,18-29,$0-20k,Hispanic,Female,Coll,60
AL,18-29,$0-20k,Hispanic,Female,Post-Grad,0
AL,18-29,$0-20k,Other,Male,< HS,434
AL,18-29,$0-20k,Other,Male,HS,538
AL,18-29,$0-20k,Other,Male,Some Coll,414
AL,18-29,$0-20k,Other,Male,Coll,214
AL,18-29,$0-20k,Other,Male,Post-Grad,29
AL,18-29,$0-20k,Other,Female,< HS,417
AL,18-29,$0-20k,Other,Female,HS,506
AL,18-29,$0-20k,Other,Female,Some Coll,714
AL,18-29,$0-20k,Other,Female,Coll,75
AL,18-29,$0-20k,Other,Female,Post-Grad,0
AL,18-29,$20-40k,White,Male,< HS,12897
AL,18-29,$20-40k,White,Male,HS,17774
AL,18-29,$20-40k,White,Male,Some Coll,16744
AL,18-29,$20-40k,White,Male,Coll,4684
AL,18-29,$20-40k,White,Male,Post-Grad,813
AL,18-29,$20-40k,White,Female,< HS,9920
AL,18-29,$20-40k,White,Female,HS,18536
AL,18-29,$20-40k,White,Female,Some Coll,19426
AL,18-29,$20-40k,White,Female,Coll,5985
AL,18-29,$20-40k,White,Female,Post-Grad,1291
AL,18-29,$20-40k,Black,Male,< HS,9202
AL,18-29,$20-40k,Black,Male,HS,12128
AL,18-29,$20-40k,Black,Male,Some Coll,6660
AL,18-29,$20-40k,Black,Male,Coll,1047
AL,18-29,$20-40k,Black,Male,Post-Grad,253
AL,18-29,$20-40k,Black,Female,< HS,6027
AL,18-29,$20-40k,Black,Female,HS,11233
AL,18-29,$20-40k,Black,Female,Some Coll,12440
AL,18-29,$20-40k,Black,Female,Coll,2813
AL,18-29,$20-40k,Black,Female,Post-Grad,425
AL,18-29,$20-40k,Hispanic,Male,< HS,377
AL,18-29,$20-40k,Hispanic,Male,HS,386
AL,18-29,$20-40k,Hispanic,Male,Some Coll,128
AL,18-29,$20-40k,Hispanic,Male,Coll,22
AL,18-29,$20-40k,Hispanic,Male,Post-Grad,3
AL,18-29,$20-40k,Hispanic,Female,< HS,199
AL,18-29,$20-40k,Hispanic,Female,HS,282
AL,18-29,$20-40k,Hispanic,Female,Some Coll,265
AL,18-29,$20-40k,Hispanic,Female,Coll,56
AL,18-29,$20-40k,Hispanic,Female,Post-Grad,20
AL,18-29,$20-40k,Other,Male,< HS,418
AL,18-29,$20-40k,Other,Male,HS,749
AL,18-29,$20-40k,Other,Male,Some Coll,455
AL,18-29,$20-40k,Other,Male,Coll,125
AL,18-29,$20-40k,Other,Male,Post-Grad,3
AL,18-29,$20-40k,Other,Female,< HS,373
AL,18-29,$20-40k,Other,Female,HS,460
AL,18-29,$20-40k,Other,Female,Some Coll,802
AL,18-29,$20-40k,Other,Female,Coll,205
AL,18-29,$20-40k,Other,Female,Post-Grad,85
AL,18-29,$40-75k,White,Male,< HS,12132
AL,18-29,$40-75k,White,Male,HS,27144
AL,18-29,$40-75k,White,Male,Some Coll,25570
AL,18-29,$40-75k,White,Male,Coll,8065
AL,18-29,$40-75k,White,Male,Post-Grad,2038
AL,18-29,$40-75k,White,Female,< HS,7265
AL,18-29,$40-75k,White,Female,HS,22491
AL,18-29,$40-75k,White,Female,Some Coll,26786
AL,18-29,$40-75k,White,Female,Coll,12450
AL,18-29,$40-75k,White,Female,Post-Grad,2315
AL,18-29,$40-75k,Black,Male,< HS,4519
AL,18-29,$40-75k,Black,Male,HS,12911
AL,18-29,$40-75k,Black,Male,Some Coll,7438
AL,18-29,$40-75k,Black,Male,Coll,1980
AL,18-29,$40-75k,Black,Male,Post-Grad,489
AL,18-29,$40-75k,Black,Female,< HS,2583
AL,18-29,$40-75k,Black,Female,HS,7340
AL,18-29,$40-75k,Black,Female,Some Coll,9934
AL,18-29,$40-75k,Black,Female,Coll,2891
AL,18-29,$40-75k,Black,Female,Post-Grad,519
AL,18-29,$40-75k,Hispanic,Male,< HS,426
AL,18-29,$40-75k,Hispanic,Male,HS,638
AL,18-29,$40-75k,Hispanic,Male,Some Coll,164
AL,18-29,$40-75k,Hispanic,Male,Coll,86
AL,18-29,$40-75k,Hispanic,Male,Post-Grad,13
AL,18-29,$40-75k,Hispanic,Female,< HS,273
AL,18-29,$40-75k,Hispanic,Female,HS,725
AL,18-29,$40-75k,Hispanic,Female,Some Coll,657
AL,18-29,$40-75k,Hispanic,Female,Coll,73
AL,18-29,$40-75k,Hispanic,Female,Post-Grad,47
AL,18-29,$40-75k,Other,Male,< HS,230
AL,18-29,$40-75k,Other,Male,HS,551
AL,18-29,$40-75k,Other,Male,Some Coll,901
AL,18-29,$40-75k,Other,Male,Coll,124
AL,18-29,$40-75k,Other,Male,Post-Grad,122
AL,18-29,$40-75k,Other,Female,< HS,215
AL,18-29,$40-75k,Other,Female,HS,593
AL,18-29,$40-75k,Other,Female,Some Coll,603
AL,18-29,$40-75k,Other,Female,Coll,217
AL,18-29,$40-75k,Other,Female,Post-Grad,34
AL,18-29,$75-150k,White,Male,< HS,5722
AL,18-29,$75-150k,White,Male,HS,16017
AL,18-29,$75-150k,White,Male,Some Coll,19100
AL,18-29,$75-150k,White,Male,Coll,6829
AL,18-29,$75-150k,White,Male,Post-Grad,1660
AL,18-29,$75-150k,White,Female,< HS,3765
AL,18-29,$75-150k,White,Female,HS,9405
AL,18-29,$75-150k,White,Female,Some Coll,17567
AL,18-29,$75-150k,White,Female,Coll,8905
AL,18-29,$75-150k,White,Female,Post-Grad,2949
AL,18-29,$75-150k,Black,Male,< HS,1349
AL,18-29,$75-150k,Black,Male,HS,4788
AL,18-29,$75-150k,Black,Male,Some Coll,4090
AL,18-29,$75-150k,Black,Male,Coll,1468
AL,18-29,$75-150k,Black,Male,Post-Grad,139
AL,18-29,$75-150k,Black,Female,< HS,924
AL,18-29,$75-150k,Black,Female,HS,2900
AL,18-29,$75-150k,Black,Female,Some Coll,4177
AL,18-29,$75-150k,Black,Female,Coll,2253
AL,18-29,$75-150k,Black,Female,Post-Grad,409
AL,18-29,$75-150k,Hispanic,Male,< HS,92
AL,18-29,$75-150k,Hispanic,Male,HS,116
AL,18-29,$75-150k,Hispanic,Male,Some Coll,340
AL,18-29,$75-150k,Hispanic,Male,Coll,115
AL,18-29,$75-150k,Hispanic,Male,Post-Grad,0
AL,18-29,$75-150k,Hispanic,Female,< HS,16
AL,18-29,$75-150k,Hispanic,Female,HS,112
AL,18-29,$75-150k,Hispanic,Female,Some Coll,269
AL,18-29,$75-150k,Hispanic,Female,Coll,202
AL,18-29,$75-150k,Hispanic,Female,Post-Grad,0
AL,18-29,$75-150k,Other,Male,< HS,108
AL,18-29,$75-150k,Other,Male,HS,615
AL,18-29,$75-150k,Other,Male,Some Coll,563
AL,18-29,$75-150k,Other,Male,Coll,164
AL,18-29,$75-150k,Other,Male,Post-Grad,60
AL,18-29,$75-150k,Other,Female,< HS,187
AL,18-29,$75-150k,Other,Female,HS,333
AL,18-29,$75-150k,Other,Female,Some Coll,587
AL,18-29,$75-150k,Other,Female,Coll,120
AL,18-29,$75-150k,Other,Female,Post-Grad,101
AL,18-29,$150k+,White,Male,< HS,1265
AL,18-29,$150k+,White,Male,HS,3247
AL,18-29,$150k+,White,Male,Some Coll,4996
AL,18-29,$150k+,White,Male,Coll,2002
AL,18-29,$150k+,White,Male,Post-Grad,411
AL,18-29,$150k+,White,Female,< HS,598
AL,18-29,$150k+,White,Female,HS,1967
AL,18-29,$150k+,White,Female,Some Coll,4164
AL,18-29,$150k+,White,Female,Coll,2333
AL,18-29,$150k+,White,Female,Post-Grad,469
AL,18-29,$150k+,Black,Male,< HS,148
AL,18-29,$150k+,Black,Male,HS,171
AL,18-29,$150k+,Black,Male,Some Coll,315
AL,18-29,$150k+,Black,Male,Coll,186
AL,18-29,$150k+,Black,Male,Post-Grad,52
AL,18-29,$150k+,Black,Female,< HS,30
AL,18-29,$150k+,Black,Female,HS,185
AL,18-29,$150k+,Black,Female,Some Coll,231
AL,18-29,$150k+,Black,Female,Coll,267
