year,rid,rvote,stt,eth,inc,age,sex,edu,mar,rel,chu,kid,regist,weight
2008,682,1,KS,White,$20-40k,45-64,Female,HS,Married,No religion,Nonattenders,,registered,0.874000012874603
2008,30739,1,OH,White,$20-40k,65+,Male,HS,Single,Protestant (not born-again),Frequent attenders,,registered,1.84444439411163
2008,1075,1,CA,White,$40-75k,45-64,Male,Coll,Married,Protestant (not born-again),"Occasional
attenders",,registered,1.68888890743256
2008,69,1,OH,White,$20-40k,65+,Female,HS,Married,Born-again Protestant,"Very frequent
church attenders",,registered,2.20000004768372
2008,258,0,VT,White,$20-40k,30-44,Female,Coll,Single,,Nonattenders,,registered,1.57692313194275
2008,235,0,CA,White,$150k+,45-64,Male,Post-Grad,Married,Catholic,Frequent attenders,,registered,0.493000000715256
2008,80187,1,CO,White,$20-40k,45-64,Female,Post-Grad,Single,Protestant (not born-again),Frequent attenders,,registered,1.71111106872559
2008,1678,1,FL,White,$20-40k,45-64,Male,HS,Married,Catholic,Frequent attenders,,registered,2.71153855323792
2008,1358,0,WA,Hispanic,$20-40k,18-29,Male,HS,Single,Catholic,"Occasional
attenders",,registered,1.10500001907349
2008,30394,0,NJ,White,$75-150k,65+,Male,Some Coll,Married,Catholic,"Occasional
attenders",,registered,1.55555558204651
2008,324,0,CA,Other,$75-150k,18-29,Female,Some Coll,Single,Other religion,Rare attenders,,registered,7.36999988555908
2008,1521,1,MI,White,$150k+,30-44,Female,Coll,Married,Protestant (not born-again),"Occasional
attenders",,registered,2.75
2008,30101,0,ND,White,$75-150k,65+,Female,Post-Grad,Married,Protestant (not born-again),"Occasional
attenders",,registered,1.11111116409302
2008,3083,1,NC,White,$150k+,65+,Male,Some Coll,Married,Catholic,Frequent attenders,,registered,0.492000013589859
2008,70600,0,FL,Black,$40-75k,18-29,Female,HS,Single,Protestant (not born-again),Frequent attenders,No Kids,registered,9.07692337036133
2008,31353,1,AL,White,$0-20k,65+,Male,HS,Married,Born-again Protestant,"Very frequent
church attenders",,registered,1.79999995231628
2008,70050,1,FL,White,$75-150k,45-64,Male,Coll,Married,Protestant (not born-again),"Occasional
attenders",No Kids,registered,1.23076927661896
2008,10090,0,OH,White,$0-20k,65+,Female,HS,Single,Born-again Protestant,"Occasional
attenders",No Kids,registered,1.95238089561462
2008,30461,0,IA,White,$20-40k,65+,Female,HS,Married,Born-again Protestant,"Occasional
attenders",,registered,2.06666660308838
2008,1299,0,TN,Black,$40-75k,30-44,Female,Some Coll,Married,Born-again Protestant,"Very frequent
church attenders",,registered,1.77551019191742
2008,693,0,MN,White,$0-20k,65+,Female,HS,Single,Protestant (not born-again),,No Kids,registered,2.51428580284119
2008,20286,1,CA,White,$75-150k,45-64,Female,Some Coll,Married,Born-again Protestant,Frequent attenders,,registered,2.28888893127441
2008,18,0,MD,White,$75-150k,30-44,Female,Coll,Married,Jewish,"Occasional
attenders",,registered,1.95555555820465
2008,309,0,VA,White,$0-20k,45-64,Female,Some Coll,Single,Born-again Protestant,Rare attenders,,registered,0.638999998569489
2008,859,1,WA,White,$40-75k,45-64,Male,Coll,Single,Catholic,Nonattenders,,registered,1.13888883590698
2008,2794,1,NC,White,$75-150k,65+,Male,Post-Grad,Married,No religion,Nonattenders,,registered,0.492000013589859
2008,368,0,TX,Hispanic,$75-150k,45-64,Male,Some Coll,Married,Catholic,Rare attenders,,registered,5.76666688919067
