company,ticker,date,price
Alphabet,GOOG,2017-06-02,975.6
Alphabet,GOOG,2017-06-01,966.95
Alphabet,GOOG,2017-05-31,964.86
Alphabet,GOOG,2017-05-30,975.88
Alphabet,GOOG,2017-05-26,971.47
Alphabet,GOOG,2017-05-25,969.54
Alphabet,GOOG,2017-05-24,954.96
Alphabet,GOOG,2017-05-23,948.82
Alphabet,GOOG,2017-05-22,941.86
Alphabet,GOOG,2017-05-19,934.01
Alphabet,GOOG,2017-05-18,930.24
Alphabet,GOOG,2017-05-17,919.62
Alphabet,GOOG,2017-05-16,943
Alphabet,GOOG,2017-05-15,937.08
Alphabet,GOOG,2017-05-12,932.22
Alphabet,GOOG,2017-05-11,930.6
Alphabet,GOOG,2017-05-10,928.78
Alphabet,GOOG,2017-05-09,932.17
Alphabet,GOOG,2017-05-08,934.3
Alphabet,GOOG,2017-05-05,927.13
Alphabet,GOOG,2017-05-04,931.66
Alphabet,GOOG,2017-05-03,927.04
Alphabet,GOOG,2017-05-02,916.44
Alphabet,GOOG,2017-05-01,912.57
Alphabet,GOOG,2017-04-28,905.96
Alphabet,GOOG,2017-04-27,874.25
Alphabet,GOOG,2017-04-26,871.73
Alphabet,GOOG,2017-04-25,872.3
Alphabet,GOOG,2017-04-24,862.76
Alphabet,GOOG,2017-04-21,843.19
Alphabet,GOOG,2017-04-20,841.65
Alphabet,GOOG,2017-04-19,838.21
Alphabet,GOOG,2017-04-18,836.82
Alphabet,GOOG,2017-04-17,837.17
Alphabet,GOOG,2017-04-13,823.56
Alphabet,GOOG,2017-04-12,824.32
Alphabet,GOOG,2017-04-11,823.35
Alphabet,GOOG,2017-04-10,824.73
Alphabet,GOOG,2017-04-07,824.67
Alphabet,GOOG,2017-04-06,827.88
Alphabet,GOOG,2017-04-05,831.41
Alphabet,GOOG,2017-04-04,834.57
Alphabet,GOOG,2017-04-03,838.55
Alphabet,GOOG,2017-03-31,829.56
Alphabet,GOOG,2017-03-30,831.5
Alphabet,GOOG,2017-03-29,831.41
Alphabet,GOOG,2017-03-28,820.92
Alphabet,GOOG,2017-03-27,819.51
Alphabet,GOOG,2017-03-24,814.43
Alphabet,GOOG,2017-03-23,817.58
Alphabet,GOOG,2017-03-22,829.59
Alphabet,GOOG,2017-03-21,830.46
Alphabet,GOOG,2017-03-20,848.4
Alphabet,GOOG,2017-03-17,852.12
Alphabet,GOOG,2017-03-16,848.78
Alphabet,GOOG,2017-03-15,847.2
Alphabet,GOOG,2017-03-14,845.62
Alphabet,GOOG,2017-03-13,845.54
Alphabet,GOOG,2017-03-10,843.25
Alphabet,GOOG,2017-03-09,838.68
Alphabet,GOOG,2017-03-08,835.37
Alphabet,GOOG,2017-03-07,831.91
Alphabet,GOOG,2017-03-06,827.78
Alphabet,GOOG,2017-03-03,829.08
Alphabet,GOOG,2017-03-02,830.63
Alphabet,GOOG,2017-03-01,835.24
Alphabet,GOOG,2017-02-28,823.21
Alphabet,GOOG,2017-02-27,829.28
Alphabet,GOOG,2017-02-24,828.64
Alphabet,GOOG,2017-02-23,831.33
Alphabet,GOOG,2017-02-22,830.76
Alphabet,GOOG,2017-02-21,831.66
Alphabet,GOOG,2017-02-17,828.07
Alphabet,GOOG,2017-02-16,824.16
Alphabet,GOOG,2017-02-15,818.98
Alphabet,GOOG,2017-02-14,820.45
Alphabet,GOOG,2017-02-13,819.24
Alphabet,GOOG,2017-02-10,813.67
Alphabet,GOOG,2017-02-09,809.56
Alphabet,GOOG,2017-02-08,808.38
Alphabet,GOOG,2017-02-07,806.97
Alphabet,GOOG,2017-02-06,801.34
Alphabet,GOOG,2017-02-03,801.49
Alphabet,GOOG,2017-02-02,798.53
Alphabet,GOOG,2017-02-01,795.7
Alphabet,GOOG,2017-01-31,796.79
Alphabet,GOOG,2017-01-30,802.32
Alphabet,GOOG,2017-01-27,823.31
Alphabet,GOOG,2017-01-26,832.15
Alphabet,GOOG,2017-01-25,835.67
Alphabet,GOOG,2017-01-24,823.87
Alphabet,GOOG,2017-01-23,819.31
Alphabet,GOOG,2017-01-20,805.02
Alphabet,GOOG,2017-01-19,802.18
Alphabet,GOOG,2017-01-18,806.07
Alphabet,GOOG,2017-01-17,804.61
Alphabet,GOOG,2017-01-13,807.88
Alphabet,GOOG,2017-01-12,806.36
Alphabet,GOOG,2017-01-11,807.91
Alphabet,GOOG,2017-01-10,804.79
Alphabet,GOOG,2017-01-09,806.65
Alphabet,GOOG,2017-01-06,806.15
Alphabet,GOOG,2017-01-05,794.02
Alphabet,GOOG,2017-01-04,786.9
Alphabet,GOOG,2017-01-03,786.14
Alphabet,GOOG,2016-12-30,771.82
Alphabet,GOOG,2016-12-29,782.79
Alphabet,GOOG,2016-12-28,785.05
Alphabet,GOOG,2016-12-27,791.55
Alphabet,GOOG,2016-12-23,789.91
Alphabet,GOOG,2016-12-22,791.26
Alphabet,GOOG,2016-12-21,794.56
Alphabet,GOOG,2016-12-20,796.42
Alphabet,GOOG,2016-12-19,794.2
Alphabet,GOOG,2016-12-16,790.8
Alphabet,GOOG,2016-12-15,797.85
Alphabet,GOOG,2016-12-14,797.07
Alphabet,GOOG,2016-12-13,796.1
Alphabet,GOOG,2016-12-12,789.27
Alphabet,GOOG,2016-12-09,789.29
Alphabet,GOOG,2016-12-08,776.42
Alphabet,GOOG,2016-12-07,771.19
Alphabet,GOOG,2016-12-06,759.11
Alphabet,GOOG,2016-12-05,762.52
Alphabet,GOOG,2016-12-02,750.5
Alphabet,GOOG,2016-12-01,747.92
Alphabet,GOOG,2016-11-30,758.04
Alphabet,GOOG,2016-11-29,770.84
Alphabet,GOOG,2016-11-28,768.24
Alphabet,GOOG,2016-11-25,761.68
Alphabet,GOOG,2016-11-23,760.99
Alphabet,GOOG,2016-11-22,768.27
Alphabet,GOOG,2016-11-21,769.2
Alphabet,GOOG,2016-11-18,760.54
Alphabet,GOOG,2016-11-17,771.23
Alphabet,GOOG,2016-11-16,764.48
Alphabet,GOOG,2016-11-15,758.49
Alphabet,GOOG,2016-11-14,736.08
Alphabet,GOOG,2016-11-11,754.02
Alphabet,GOOG,2016-11-10,762.56
Alphabet,GOOG,2016-11-09,785.31
Alphabet,GOOG,2016-11-08,790.51
Alphabet,GOOG,2016-11-07,782.52
Alphabet,GOOG,2016-11-04,762.02
Alphabet,GOOG,2016-11-03,762.13
