todofuken,prefecture,2004men,2004women,2004all,2007men,2007women,2007all,2010men,2010women,2010all,2013men,2013women,2013all
___,Hokkaido,62.33,61.21,61.74,62.99,61.88,62.4,62.45,61.41,61.89,55.39,53.56,54.41
___,Aomori,54.79,53.12,53.91,55.17,52.75,53.88,55.95,53.33,54.55,47.74,44.94,46.25
___,Iwate,63.9,62.81,63.33,64.35,62.54,63.4,61.64,59.21,60.36,58.61,56.54,57.53
___,Miyagi,54.69,53.2,53.92,56.65,54.98,55.79,54.55,52.22,53.34,51.79,49.78,50.75
___,Akita,66.27,64.49,65.32,68.46,67.04,67.7,66.42,63.87,65.05,57.62,54.95,56.19
___,Yamagata,63.44,60.2,61.75,68.72,65.99,67.29,65.85,62.27,63.97,62.91,58.82,60.76
___,Fukushima,60.49,60.2,60.34,62.18,61.01,61.57,62.22,61.08,61.63,55.19,53.9,54.52
___,Ibaraki,50.76,49.39,50.07,54.82,53.19,54,56.02,54.2,55.11,50.85,48.48,49.66
___,Tochigi,51.81,50.18,50.99,57.53,55.81,56.66,57.57,55.64,56.59,51.31,48.12,49.69
___,Gunma,58.13,57.87,58,55.33,53.9,54.6,59.07,58.06,58.55,52.7,50.84,51.75
___,Saitama,53.05,52.14,52.6,56.73,55.97,56.35,56.46,55.19,55.83,52.16,50.26,51.21
___,Chiba,52.02,51.72,51.87,55.5,54.77,55.14,55.36,54.34,54.85,50.11,48.34,49.22
___,Tokyo,55.73,56.43,56.08,57.77,57.97,57.87,58.6,58.8,58.7,54.08,52.96,53.51
____,Kanagawa,54.48,54.48,54.48,56.42,56.22,56.32,56.08,55.04,55.56,55.19,53.76,54.47
___,Niigata,64.74,61.87,63.25,66.29,63.02,64.58,63.16,59,60.99,58.18,53.65,55.82
___,Toyama,58.94,56.43,57.62,65.72,64.26,64.96,65.71,64.09,64.86,51.93,48.69,50.23
___,Ishikawa,57.35,56.32,56.81,63.53,62.33,62.9,60.79,59.01,59.86,56.23,53.84,54.98
___,Fukui,61.85,60.26,61.02,64.18,62.39,63.25,66,64.58,65.26,55.12,52.55,53.78
___,Yamanashi,61.24,62.35,61.81,63.51,63.79,63.65,63.88,64.2,64.04,57.05,56.28,56.65
___,Nagano,62.21,60.84,61.5,65.87,64.25,65.04,65.67,63.84,64.72,59.07,56.46,57.72
___,Gifu,59.56,59.18,59.36,61.78,61.18,61.47,60.47,59.08,59.75,54.02,52,52.97
___,Shizuoka,57.8,58.07,57.94,58.66,58.18,58.41,57.83,56.94,57.37,52.23,50,51.09
___,Aichi,55.05,54.06,54.55,59.31,58.92,59.12,58.31,56.62,57.46,53.97,51.35,52.65
___,Mie,62.15,62.4,62.28,60.75,60.42,60.58,61.15,60.57,60.85,58.41,57.26,57.82
___,Shiga,58.55,57.48,58,60.78,59.87,60.32,61.22,60.43,60.82,54.32,51.66,52.96
___,Kyoto,55.34,53.93,54.6,57.33,55.5,56.37,55.13,52.42,53.71,53.74,50.54,52.05
___,Osaka,52.63,53.71,53.18,55.38,56.21,55.81,56.16,56.51,56.35,52.93,52.53,52.72
___,Hyogo,55.31,54.92,55.11,57.02,56.24,56.61,55.23,53.67,54.41,53.9,52.24,53.02
___,Nara,58.46,57.12,57.75,61.52,60.11,60.77,60.29,58.08,59.11,56.91,54.33,55.54
____,Wakayama,58.43,58.43,58.43,59.52,59.19,59.34,59.94,58.9,59.38,55.65,54.32,54.94
___,Tottori,63.6,64.67,64.17,67.64,67.7,67.67,65.99,65.56,65.77,59.44,58.37,58.88
___,Shimane,68.91,68.84,68.87,72.29,71.38,71.81,72.16,71.29,71.7,62.09,59.82,60.89
___,Okayama,58.21,58.96,58.61,59.28,59.07,59.17,57.17,56.79,56.97,49.44,48.38,48.88
___,Hiroshima,53.69,53.7,53.69,57.01,56.82,56.91,54.15,52.92,53.51,51.18,48.9,49.99
___,Yamaguchi,61.31,63.18,62.31,61.34,62.6,62.02,61.47,62.3,61.91,50.68,50.06,50.35
___,Tokushima,54.57,54.62,54.6,58.85,58.13,58.47,58.44,58.06,58.24,50.23,48.46,49.29
___,Kagawa,55.5,54.94,55.2,59.19,58.53,58.84,57.84,57.6,57.71,52.89,51.36,52.08
___,Ehime,55.9,56.77,56.37,61.6,62.17,61.91,57.66,57.47,57.56,49.92,48.95,49.4
___,Kochi,55.9,58.51,57.3,57.48,59.19,58.4,57.82,59.07,58.49,49.65,50.1,49.89
___,Fukuoka,53.97,55.59,54.84,54.52,55.1,54.83,55.83,56.28,56.07,49.76,49.01,49.36
___,Saga,61.77,62.25,62.03,63.08,62.67,62.86,63.29,62.83,63.05,53.27,51.85,52.51
___,Nagasaki,59.64,60.57,60.14,61.39,61.67,61.54,61.24,61.36,61.3,54.5,53.66,54.04
___,Kumamoto,59.48,59.73,59.61,63.25,62.99,63.11,62.16,61.69,61.91,53.18,51.54,52.3
___,Oita,63.77,65.27,64.57,62.62,63.4,63.04,62.64,63.24,62.96,53.56,52.79,53.15
___,Miyazaki,61.57,62.63,62.14,57.04,56.57,56.79,56.99,56.58,56.77,50.37,49.34,49.82
____,Kagoshima,62.41,63.27,62.87,60.98,60.41,60.67,58.98,57.83,58.36,51.44,49.54,50.42
___,Okinawa,53.62,54.83,54.24,59.53,61.08,60.32,52.18,52.69,52.44,52.97,53.86,53.43
_,Total,56.61,56.54,56.57,58.87,58.42,58.64,58.38,57.49,57.92,53.5,51.79,52.61
