st,state,ballots_pres,vap,vep
AL,Alabama,2123372,3770142,3601361
AK,Alaska,318608,555367,519849
AZ,Arizona,2604657,5331034,4734313
AR,Arkansas,1130635,2286625,2142571
CA,California,14181595,30201571,25017408
CO,Colorado,2780247,4305728,3966297
CT,Connecticut,1644920,2821935,2561555
DE,Delaware,443814,749872,689125
DC,District of Columbia,311268,562329,511463
FL,Florida,9420039,16565588,14572210
GA,Georgia,4114732,7828207,6955436
HI,Hawaii,428937,1120465,1016971
ID,Idaho,690255,1253925,1167200
IL,Illinois,5536424,9866799,8943045
IN,Indiana,2734958,5063393,4852657
IA,Iowa,1566031,2406915,2290215
KS,Kansas,1184402,2192423,2051750
KY,Kentucky,1924149,3430652,3276651
LA,Louisiana,2029032,3571652,3380951
ME,Maine,747927,1078037,1060905
MD,Maryland,2781446,4670900,4176484
MA,Massachusetts,3325046,5442458,4947241
MI,Michigan,4799284,7744567,7423233
MN,Minnesota,2944813,4240423,3966155
MS,Mississippi,1209357,2268089,2176312
MO,Missouri,2808605,4710784,4511812
MT,Montana,497147,817702,804381
NE,Nebraska,844227,1436437,1349903
NV,Nevada,1125385,2276281,1964097
NH,New Hampshire,744296,1076739,1042102
NJ,New Jersey,3874046,6959892,6042792
NM,New Mexico,798319,1591069,1456551
NY,New York,7721453,15557982,13591250
NC,North Carolina,4741564,7880013,7318442
ND,North Dakota,344360,581188,565031
OH,Ohio,5496487,9007953,8737173
OK,Oklahoma,1452992,2965905,2773970
OR,Oregon,2001336,3244277,3012502
PA,Pennsylvania,6165478,10108486,9701644
RI,Rhode Island,464144,848975,786033
SC,South Carolina,2103027,3883145,3706769
SD,South Dakota,370093,653841,632989
TN,Tennessee,2508027,5164969,4899384
TX,Texas,8969226,20671564,17396296
UT,Utah,1131430,2144784,1995987
VT,Vermont,315067,506048,494879
VA,Virginia,3984631,6551390,6027262
WA,Washington,3317019,5691833,5121782
WV,West Virginia,714423,1453201,1425962
WI,Wisconsin,2976150,4495783,4288320
WY,Wyoming,255849,446396,428283
