cong,year
77,1941
77,1942
78,1943
78,1944
79,1945
79,1946
80,1947
80,1948
81,1949
81,1950
82,1951
82,1952
83,1953
83,1954
84,1955
84,1956
85,1957
85,1958
86,1959
86,1960
87,1961
87,1962
88,1963
88,1964
89,1965
89,1966
90,1967
90,1968
91,1969
91,1970
92,1971
92,1972
93,1973
93,1974
94,1975
94,1976
95,1977
95,1978
96,1979
96,1980
97,1981
97,1982
98,1983
98,1984
99,1985
99,1986
100,1987
100,1988
101,1989
101,1990
102,1991
102,1992
103,1993
103,1994
104,1995
104,1996
105,1997
105,1998
106,1999
106,2000
107,2001
107,2002
108,2003
108,2004
109,2005
109,2006
110,2007
110,2008
111,2009
111,2010
112,2011
112,2012
113,2013
113,2014
114,2015
114,2016
